epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,414.006,1.09389,1.63729,1.21602,0.00317,1.08418,0.77315,0.84318,0.83545,0.65564,0.75687,0.8242,0.81286,0.52524,0.79791,0.94986,0.78484,0.00344,0,0.00066335,0.00066335,0.00066335
2,683.878,1.09592,1.51679,0.77273,0.00322,0.65102,0.81246,0.77646,0.85714,0.64738,0.80516,0.76477,0.83228,0.52781,0.88525,1.19976,0.69748,0.00363,0,0.00130368,0.00130368,0.00130368
3,945.84,1.09515,1.47437,0.73272,0.0033,0.61651,0.79594,0.79735,0.85235,0.66062,0.78639,0.78819,0.83957,0.54862,0.78051,1.00582,0.66069,0.00308,0,0.00191761,0.00191761,0.00191761
4,1214.89,1.09564,1.45794,0.70579,0.00329,0.61674,0.76976,0.78819,0.82905,0.65079,0.76922,0.76171,0.80859,0.50917,0.8068,1.03306,0.93193,0.00339,0,0.0018812,0.0018812,0.0018812
5,1487.9,1.08991,1.43759,0.68519,0.0031,0.59916,0.82858,0.79738,0.87002,0.6937,0.81376,0.78313,0.84145,0.57029,0.77371,0.95341,0.64478,0.00309,0,0.0018416,0.0018416,0.0018416
6,1762.84,1.0721,1.42623,0.66377,0.00305,0.56241,0.80079,0.84735,0.87642,0.70524,0.80062,0.8279,0.85665,0.597,0.76679,0.98833,0.56706,0.00305,0,0.001802,0.001802,0.001802
7,2043.03,1.0543,1.38656,0.63786,0.00296,0.53853,0.82997,0.81523,0.86673,0.67895,0.83699,0.79998,0.85493,0.57217,0.81348,0.97027,0.61572,0.00334,0,0.0017624,0.0017624,0.0017624
8,2318.2,1.03058,1.345,0.62853,0.00281,0.53707,0.81038,0.85845,0.88148,0.71383,0.85372,0.80448,0.86473,0.61293,0.73088,0.94266,0.61299,0.00279,0,0.0017228,0.0017228,0.0017228
9,2590.72,1.01196,1.317,0.59574,0.00291,0.49325,0.84483,0.83723,0.89086,0.70982,0.84184,0.82931,0.87541,0.60881,0.80399,0.99449,0.62848,0.00339,0,0.0016832,0.0016832,0.0016832
10,2860.55,1.01333,1.31408,0.5897,0.00277,0.48052,0.86164,0.8498,0.90366,0.73509,0.85663,0.84216,0.88869,0.63337,0.70866,0.96976,0.52105,0.00272,0,0.0016436,0.0016436,0.0016436
11,3133.05,1.00172,1.32248,0.57521,0.00276,0.46764,0.8432,0.83235,0.89246,0.73759,0.83824,0.81791,0.87442,0.61577,0.66221,0.96209,0.63771,0.0024,0,0.001604,0.001604,0.001604
12,3412.1,1.00566,1.30519,0.56828,0.00272,0.46868,0.85674,0.85845,0.89132,0.72782,0.86105,0.83605,0.86904,0.58547,0.64042,0.9731,1.11701,0.00221,0,0.0015644,0.0015644,0.0015644
13,3698.35,0.99431,1.29321,0.56349,0.00262,0.44775,0.81554,0.85947,0.89305,0.74158,0.80537,0.84696,0.87546,0.61117,0.64703,0.95777,0.73198,0.00227,0,0.0015248,0.0015248,0.0015248
14,3981.52,0.96643,1.26299,0.53422,0.00264,0.4394,0.84306,0.88069,0.90309,0.74569,0.83523,0.8554,0.87668,0.61207,0.65252,0.93943,0.45206,0.00235,0,0.0014852,0.0014852,0.0014852
15,4262.61,0.97697,1.28151,0.54045,0.00261,0.44754,0.81213,0.80855,0.86454,0.6908,0.80906,0.80258,0.8502,0.60667,0.7572,0.94775,0.77178,0.00299,0,0.0014456,0.0014456,0.0014456
16,4551.8,0.97005,1.26775,0.5404,0.00258,0.43508,0.83176,0.86354,0.89274,0.73759,0.82506,0.85486,0.87605,0.60765,0.67841,0.85515,0.79324,0.00251,0,0.001406,0.001406,0.001406
17,4833.22,0.92722,1.19496,0.51266,0.00254,0.42386,0.86825,0.8554,0.90712,0.75926,0.86178,0.8442,0.88473,0.63735,0.63694,0.91637,0.47797,0.0023,0,0.0013664,0.0013664,0.0013664
18,5116.15,0.96056,1.23402,0.52481,0.00253,0.43326,0.84846,0.85132,0.89412,0.73292,0.84147,0.84323,0.87997,0.61742,0.68932,0.9151,0.54589,0.00251,0,0.0013268,0.0013268,0.0013268
19,5401.56,0.93654,1.21093,0.50908,0.0025,0.41992,0.83639,0.87975,0.90149,0.75956,0.83506,0.86049,0.889,0.64496,0.6301,0.90605,0.45849,0.00226,0,0.0012872,0.0012872,0.0012872
20,5689.54,0.93504,1.22275,0.51082,0.00244,0.40257,0.87593,0.84929,0.90159,0.75895,0.86241,0.82978,0.88302,0.64023,0.63627,0.89726,0.45985,0.00227,0,0.0012476,0.0012476,0.0012476
21,5974.84,0.92276,1.21151,0.50694,0.00248,0.40782,0.85032,0.85743,0.90735,0.76311,0.85319,0.82688,0.88489,0.63423,0.64157,0.91191,0.61438,0.00247,0,0.001208,0.001208,0.001208
22,6266.59,0.91061,1.19911,0.49212,0.00241,0.4137,0.8547,0.86259,0.9059,0.76416,0.83969,0.84725,0.87804,0.6376,0.63341,0.93041,0.63869,0.00229,0,0.0011684,0.0011684,0.0011684
23,6549.88,0.89824,1.16269,0.48175,0.00242,0.38472,0.85457,0.87363,0.90162,0.75317,0.84554,0.86407,0.8921,0.64216,0.66038,0.93131,0.47282,0.00252,0,0.0011288,0.0011288,0.0011288
24,6828.92,0.90301,1.16411,0.47835,0.00238,0.39736,0.85117,0.9002,0.92094,0.78407,0.86088,0.86253,0.90209,0.65794,0.61032,0.89361,0.41818,0.0022,0,0.0010892,0.0010892,0.0010892
25,7114.65,0.88871,1.14449,0.47366,0.00236,0.38116,0.86438,0.84929,0.8953,0.75747,0.8536,0.83123,0.87797,0.62391,0.60564,0.87891,0.70949,0.00208,0,0.0010496,0.0010496,0.0010496
26,7398.32,0.88291,1.15596,0.47907,0.00233,0.39289,0.87001,0.86049,0.90586,0.77173,0.86313,0.84768,0.88726,0.64189,0.59954,0.88987,0.47078,0.00207,0,0.00101,0.00101,0.00101
